canonical_afm	verdict	registry_spelling	times_seen	curated_json_name	suggested_display	your_display_name	notes
031000379	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΚΟΥΡΚΟΥΛΩΝ ΕΥΒΟΙΑΣ	1	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΚΟΥΡΚΟΥΛΩΝ ΕΥΒΟΙΑΣ	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΚΟΥΡΚΟΥΛΩΝ ΕΥΒΟΙΑΣ		
090023568	accepted	ΔΑΣΕ ΠΗΛΙΟΥ	3	ΔΑ.Σ.Ε. Πηλίου	ΔΑΣΕ ΠΗΛΙΟΥ		
090023568	accepted	ΔΑ.Σ.Ε. ΠΗΛΙΟΥ	1				
090023568	accepted	ΔΑ.Σ.Ε. Πηλίου	1				
090273987	accepted	ΔΑΣΕ Ο.Υ.Κ. ΔΗΜΟΥ ΚΑΣΤΟΡΙΑΣ	3	ΔΑΣΕ Ο.Υ.Κ. ΔΗΜΟΥ ΚΑΣΤΟΡΙΑΣ	ΔΑΣΕ Ο.Υ.Κ. ΔΗΜΟΥ ΚΑΣΤΟΡΙΑΣ		
090273987	accepted	Α.ΔΡΟΣΟΣ & ΣΙΑ Ο.Ε	1				
090273987	accepted	ΔΑΣΕ ΠΕΥΚΟΦΥΤΟΥ ΝΕΣΤΟΡΙΟΥ	1				
090273987	accepted	ΔΑΣΕ ΣΙΔΗΡΟΝΕΡΟΥ Η ΟΜΟΝΟΙΑ	1				
090273987	accepted	ΔΕΘ-HELEXPO Α.Ε.	1				
090273987	accepted	ΙΩΑΝΝΗΣ ΚΑΛΟΓΗΡΟΣ	1				
090273987	accepted	ΤΟΦΕΑ Χ. ΑΝΑΣΤΑΣΙΑ	1				
